date,feesUSD,tvlUSD,volumeUSD,txCount
2021-09-12,1728348.534629188207324613981365515,2510604947.600170782479348544038264,882429682.0316439867054545736177938,5502388
2021-09-13,2462535.412603813176705248985295915,2448874843.806232794384243888519603,1287125512.641291888265733895618371,5540557
2021-09-14,1808744.789044275854579423146789648,2539255788.114048114075122397318592,861101954.7234758039096397324581802,5575523
2021-09-15,2095776.839375532619535859197381063,2621584157.552641653947808379492574,895084108.1292339759746530220087274,5609988
2021-09-16,2766395.957215987266028224723226553,2632677435.06612411767911116754672,1238048641.782259278827659649103753,5650182
2021-09-17,2234401.810331900266247836443206302,2614211715.973889117270658189660516,1061441186.431882881989895469454455,5685102
2021-09-18,1515025.672122028445133601316077936,2643350218.444722721165299508978097,753440297.2665044401794865927994608,5719684
2021-09-19,1469657.400454139622001024085782835,2658472513.01435326449050191578519,773027835.6371345247946917597038073,5752707
2021-09-20,3962873.727950058901475673192271835,2435259908.499918434072078290668729,2215707639.306061980164094809919175,5798745
2021-09-21,3595705.8193835245149534172927145,2344627238.454454121969857701707508,2110685675.909720770627150455079582,5839009
2021-09-22,2302896.88442097285114932371472592,2551069118.703469918757184130859537,1401511425.777317707910330411236663,5878478
2021-09-23,1844185.802470804196769219108546921,2612192246.536259300243425251702105,1063136041.16742260688059571993968,5913989
2021-09-24,2777092.20157516778491852247120598,2517142497.713571576575359985155394,1530095942.369395271972104100052661,5953081
2021-09-25,1787844.548094975286119916823612809,2544375529.655348081130964794479019,1129382608.582172671336620231358285,5987676
2021-09-26,2787627.193824442673717158062897612,2606528903.157629523958469925046595,1538097281.765900036620733460396004,6024032
2021-09-27,2142930.168355756437185834607866421,2569522399.198025314218380322627158,1222740739.352815929331850142775582,6055894
2021-09-28,2159252.403793191247330831949612778,2490888814.307928486521012964927502,1157990175.52628565392102348549476,6086731
2021-09-29,1772892.313090033773986275306148366,2525604398.285181994518342512108715,974421942.2531953852314123193593539,6118937
